last_login,allowed
2026-03-30T22:23:49.575965,True
2026-04-25T21:21:47.355516,True
2026-04-26T22:02:04.791102,True
2026-04-26T22:02:05.578023,True
2026-04-27T19:28:35.515843,True
2026-05-18T19:23:43.854487,True
2026-05-18T19:47:59.244399,True
2026-05-20T20:29:46.606025,True
2026-05-20T20:29:58.002257,True
2026-05-28T22:52:50.721460,True
2026-06-01T19:41:44.669277,True
2026-06-01T19:41:50.207283,True
2026-06-01T19:41:51.467048,True
2026-06-02T21:29:21.693380,True
2026-06-03T20:58:23.706490,True
2026-06-03T21:23:26.278313,True
